
2038233. Done: 4.0, Runtime: 0.18701171875
2054160. Done: 4.0, Runtime: 0.0219345092773
2054161. Done: 4.0, Runtime: 0.0219268798828
2054178. Done: 4.0, Runtime: 1.80019378662
2054179. Done: 4.0, Runtime: 1.63019561768
3743148. Done: 4.0, Runtime: 0.325134277344
3743160. Done: 4.0, Runtime: 0.368690490723
3743172. Done: 4.0, Runtime: 0.327125549316
3743184. Done: 4.0, Runtime: 0.395980834961
3743196. Done: 4.0, Runtime: 0.355667114258
3743226. Done: 4.0, Runtime: 0.38493347168
3743238. Done: 4.0, Runtime: 0.291213989258
3743401. Done: 4.0, Runtime: 0.329124450684
3743419. Done: 4.0, Runtime: 0.325187683105
3743441. Done: 4.0, Runtime: 0.42977142334
3743846. Done: 4.0, Runtime: 0.385643005371
3743914. Done: 4.0, Runtime: 0.291221618652
3743957. Done: 4.0, Runtime: 0.368019104004
3743970. Done: 4.0, Runtime: 0.348762512207
3743981. Done: 4.0, Runtime: 0.371032714844
3744002. Done: 4.0, Runtime: 0.358016967773
3744013. Done: 4.0, Runtime: 0.404426574707
3744024. Done: 4.0, Runtime: 0.390953063965
3815731. Done: 4.0, Runtime: 2.23304748535
3815732. Done: 4.0, Runtime: 2.32993316650
3815733. Done: 5.0, Runtime: 2.97420501709
3815734. Done: 5.0, Runtime: 2.44180297852
3815735. Done: 5.0, Runtime: 2.27562713623
3815736. Done: 5.0, Runtime: 2.56092834473
3846052. Done: 5.0, Runtime: 0.134696960449
4070631. Done: 5.0, Runtime: 0.51717376709
4070632. Done: 5.0, Runtime: 1.06275177002
4070633. Done: 5.0, Runtime: 1.02980804443
4070651. Done: 5.0, Runtime: 1.51685333252
4070656. Done: 5.0, Runtime: 0.696182250977
4187394. Done: 5.0, Runtime: 0.454437255859
4187783. Done: 5.0, Runtime: 0.77001953125
4421998. Done: 5.0, Runtime: 0.335670471191
4422001. Done: 5.0, Runtime: 0.401977539063
4488097. Done: 5.0, Runtime: 0.154602050781
4587594. Done: 5.0, Runtime: 0.786506652832
4590489. Done: 5.0, Runtime: 1.31061553955
4590513. Done: 5.0, Runtime: 1.63276672363
4592151. Done: 5.0, Runtime: 1.22447204590
4592175. Done: 5.0, Runtime: 1.20381164551
4592245. Done: 5.0, Runtime: 1.01686859131
4592349. Done: 5.0, Runtime: 1.10213470459
4592385. Done: 5.0, Runtime: 0.964508056641
4592829. Done: 5.0, Runtime: 0.213455200195
4592841. Done: 5.0, Runtime: 0.171546936035
4592849. Done: 5.0, Runtime: 0.202476501465
4592861. Done: 5.0, Runtime: 0.169586181641
4613111. Done: 5.0, Runtime: 0.218032836914
4633271. Done: 5.0, Runtime: 0.168563842773
4902435. Done: 5.0, Runtime: 0.285247802734
4902439. Done: 5.0, Runtime: 1.34351348877
4909932. Done: 5.0, Runtime: 1.63381958008
4910115. Done: 5.0, Runtime: 0.879737854004
4910496. Done: 5.0, Runtime: 1.00938415527
5646280. Done: 6.0, Runtime: 0.511306762695
5657638. Done: 6.0, Runtime: 0.463768005371
5842886. Done: 6.0, Runtime: 0.451835632324
5842887. Done: 6.0, Runtime: 0.426895141602
5842888. Done: 6.0, Runtime: 0.336143493652
5845842. Done: 6.0, Runtime: 0.505661010742
5906518. Done: 6.0, Runtime: 0.775581359863
5906519. Done: 6.0, Runtime: 0.435852050781
5906520. Done: 6.0, Runtime: 0.746078491211
5906521. Done: 6.0, Runtime: 0.872230529785
5906695. Done: 6.0, Runtime: 0.432388305664
5952415. Done: 6.0, Runtime: 0.064826965332
5952416. Done: 6.0, Runtime: 0.183525085449
5952417. Done: 6.0, Runtime: 0.188507080078
5952419. Done: 6.0, Runtime: 0.0708465576172
6036182. Done: 6.0, Runtime: 0.385520935059
6223777. Done: 6.0, Runtime: 0.527633666992
6223778. Done: 6.0, Runtime: 0.526634216309
6223779. Done: 6.0, Runtime: 0.514183044434
6223780. Done: 6.0, Runtime: 0.69945526123
6223781. Done: 6.0, Runtime: 0.560577392578
6223792. Done: 6.0, Runtime: 0.525672912598
6223797. Done: 6.0, Runtime: 0.280296325684
6223808. Done: 6.0, Runtime: 0.214416503906
6260699. Done: 6.0, Runtime: 1.90409088135
6260716. Done: 6.0, Runtime: 2.05064392090
6260721. Done: 6.0, Runtime: 3.95056915283
6260729. Done: 6.0, Runtime: 1.90019226074
6260731. Done: 6.0, Runtime: 1.74255371094
