
14872116,1454208,664792
14503383,5845842,5845842,1454350,1454350,1454238,1454238,1454230,1454230,1454208,1454208,664804,664804,664802,664796,664796,664792
14577679,5845842,1454350,1454350,1454238,1454230,1454230,1454208,664804,664796,664792
14569657,5845842,1454350,1454350,1454238,1454230,1454230,1454208,664804,664796,664792
14641443,664792
14641442,664792
14569647,664792
14872632,1454338,1454221,664795
14872633,5657638,1454338,1454221,664795
14872635,5657638,1454338,1454221,664795
14577626,5657638,1454338,1454221,664795
14538752,5657638,5657638,1454338,1454338,1454221,1454221,664795,664795
14577663,5657638,1454338,1454221,664795
14538772,5657638,1454338,1454221,664795
14538775,5657638,1454338,1454221,664795
14648606,5657638,1454338,1454221,664795
14664559,5657638,1454338,1454221,664795
14649972,664795
14649971,664795
14650865,664795
14650999,664795
14651049,664795
14645299,5845842,1454350,1454350,1454238,1454230,1454230,1454208,664804,664796
14642163,664796
14526270,664796
14526273,664796
14872356,1454219,664807,664801,664799
14872362,1454219,664807,664801,664799
14874326,1454219,664807,664801,664799
14874303,1454219,664807,664801,664799
14872424,1454219,664807,664801,664799
14523972,1454219,1454219,664807,664807,664801,664801,664799,664799
14538745,1454219,664807,664801,664799
14577666,1454219,664807,664801,664799
14538798,1454219,664807,664801,664799
14538799,1454219,664807,664801,664799
14648096,1454219,664807,664801,664799
14605622,664799
14605621,664799
14539351,1454220,1454209,664806,664800
14539352,1454220,1454220,1454209,1454209,664806,664806,664800,664800
14539353,1454220,1454209,664806,664800
14559789,1454220,1454209,664806,664800
14559787,1454220,1454209,664806,664800
14646690,1454220,1454209,664806,664800
14646289,1454209,664806,664800
14645990,664806,664800
14646100,664800
14612038,664800
14577605,664800
14648180,1454219,664807,664801
14605625,664801
14605624,664801
14664522,5845842,1454350,1454350,1454238,1454230,1454230,1454208,664804
14664526,5845842,1454350,1454350,1454238,1454230,1454230,1454208,664804
14757752,5845842,1454350,1454350,1454238,1454230,1454230,1454208,664804
14757748,1454238,664804
14757747,1454238,664804
14641454,664806
14641453,664806
14648354,1454219,664807
14605630,664807
14605629,664807
